tp,map
16:00,ㄑ一ㄠ
16:05,ㄑ一ㄡ
16:09,ㄑ一ㄢ
16:13,ㄑ一ㄣ
16:17,ㄑ一ㄤ
16:21,ㄑ一ㄥ
16:25,ㄑㄩ
16:29,ㄑㄩㄝ
16:33,ㄑㄩㄢ
16:38,ㄑㄩㄣ
16:42,ㄑㄩㄥ
16:46,ㄒㄧ
16:50,ㄒㄧㄚ
16:54,ㄒ一ㄝ
16:59,ㄒㄧㄠ
17:03,ㄒㄧㄡ
17:07,ㄒㄧㄢ
17:12,ㄒㄧㄣ
17:16,ㄒㄧㄤ
17:20,ㄒㄧㄥ
17:24,ㄒㄩ
17:28,ㄒㄩㄝ
17:32,ㄒㄩㄢ
17:37,ㄒㄩㄣ
17:41,ㄒㄩㄥ
17:46,ㄓ 
17:50,ㄓㄚ
17:54,ㄓㄜ
17:59,ㄓㄞ
18:08,ㄓㄝ
18:14,ㄓㄠ
18:18,ㄓㄡ
18:23,ㄓㄢ
18:26,ㄓㄣ
18:30,ㄓㄤ
18:34,ㄓㄥ
18:38,ㄓㄨ
18:42,ㄓㄨㄚ
18:46,ㄓㄨㄛ
18:50,ㄓㄨㄞ
18:54,ㄓㄨㄟ
18:59,ㄓㄨㄢ
19:03,ㄓㄨㄣ
19:07,ㄓㄨㄤ
19:11,ㄓㄨㄥ
19:16,ㄔ
19:20,ㄔㄚ
19:24,ㄔㄜ
19:29,ㄔㄞ
19:32,ㄔㄠ
19:37,ㄔㄡ
19:41,ㄔㄢ
19:45,ㄔㄣ
19:50,ㄔㄤ
19:54,ㄔㄥ
19:58,ㄔㄨ
20:02,ㄔㄨㄞ
20:06,ㄔㄨㄟ
20:10,ㄔㄨㄢ
20:14,ㄔㄨㄣ
20:18,ㄔㄨㄤ
20:22,ㄔㄨㄥ
20:26,ㄕ
20:31,ㄕㄚ
20:35,ㄕㄜ
20:40,ㄕㄞ
20:44,ㄕㄟ
20:49,ㄕㄠ
20:52,ㄕㄡ
20:57,ㄕㄢ
21:01,ㄕㄣ
21:06,ㄕㄤ
21:10,ㄕㄥ
21:14,ㄕㄨ
21:19,ㄕㄨㄞ
21:23,ㄕㄨㄚ
21:27,ㄕㄨㄛ
21:31,ㄕㄨㄟ
21:35,ㄕㄨㄢ
21:40,ㄕㄨㄣ
21:44,ㄕㄨㄤ
21:49,ㄖ
21:52,ㄖㄜ
21:56,ㄖㄠ
22:00,ㄖㄡ
22:05,ㄖㄢ
22:08,ㄖㄣ
22:12,ㄖㄤ
22:16,ㄖㄨ
22:21,ㄖㄨㄛ
22:24,ㄖㄨㄟ
22:29,ㄖㄨㄢ
22:33,ㄖㄨㄣ
22:37,ㄖㄨㄥ
22:41,ㄗ
22:45,ㄗㄚ
