ㄅㄚ,1,71.3107,72.0635,2,72.1995,72.9683,3,73.1043,73.7528,4,73.9138,74.7211,5,74.907,75.6508
ㄅㄛ,1,75.8821,76.6916,2,76.7959,77.4966,3,77.619,78.2676,4,78.4014,79.1519,5,79.3129,79.9229
ㄅㄞ,1,80.0952,80.8707,2,80.9796,81.6667,3,81.7868,82.4195,4,82.5737,83.2721
ㄅㄟ,1,83.4331,84.1814,2,84.2993,85.0249,3,85.161,85.8118,4,85.9819,86.746,5,86.9093,87.5488
ㄅㄠ,1,87.7211,88.4762,2,88.5896,89.2857,3,89.4036,89.9751,4,90.127,90.8209,5,90.9751,91.5193
ㄅㄢ,1,91.6712,92.3923,2,92.4943,93.1156,3,93.2358,93.8163,4,93.9819,94.6689
ㄅㄣ,1,94.8458,95.5692,2,95.7166,96.3855,3,96.5215,97.1474,4,97.3129,98.0159
ㄅㄤ,1,98.1882,98.9002,2,99.0181,99.6395,3,99.771,100.3288,4,100.4853,101.1429
ㄅㄥ,1,101.3129,102.034,2,102.1519,102.7687,3,102.8889,103.4286,4,103.5805,104.2063
ㄅㄧ,1,104.3515,105.0295,2,105.161,105.8186,3,105.9501,106.5556,4,106.7302,107.4694
ㄅㄧㄝ,1,107.6735,108.4082,2,108.4989,109.1361,3,109.2472,109.7846,4,109.9297,110.6825
ㄅㄧㄠ,1,110.873,111.6848,2,111.8141,112.5873,3,112.7392,113.4059,4,113.5873,114.3016
ㄅㄧㄢ,1,114.4717,115.2517,2,115.3719,116.102,3,116.2562,116.8934,4,117.0544,117.7914
ㄅㄧㄣ,1,117.9751,118.7234,2,118.8594,119.5556,3,119.6939,120.3084,4,120.4853,121.2608
ㄅㄧㄥ,1,121.4626,122.2517,2,122.3787,123.059,3,123.2154,123.7755,4,123.9478,124.5986
ㄅㄨ,1,124.7574,125.5238,2,125.6735,126.3855,3,126.5329,127.1769,4,127.3447,128.0363
ㄆㄚ,1,129.2971,130.0091,2,130.1406,130.8662,3,130.9977,131.6145,4,131.7596,132.4921
ㄆㄛ,1,132.6689,133.4036,2,133.5374,134.3039,3,134.4558,135.0952,4,135.2653,136.1066
ㄆㄞ,1,136.2948,137.0839,2,137.2041,137.9524,3,138.0839,138.6508,4,138.8186,139.5601
ㄆㄟ,1,139.7415,140.517,2,140.6463,141.3265,3,141.4467,142.0726,4,142.2222,142.9546
ㄆㄠ,1,143.1293,143.907,2,144.0295,144.7188,3,144.8481,145.4014,4,145.5533,146.3243
ㄆㄡ,1,146.5193,147.2562,2,147.3741,147.9841,3,148.1134,148.6576,4,148.805,149.5374
ㄆㄢ,1,149.7256,150.4898,2,150.6145,151.3039,3,151.4376,152.0249,4,152.1927,152.9161
ㄆㄣ,1,153.0771,153.7732,2,153.8912,154.5374,3,154.6825,155.2449,4,155.4127,156.0703
ㄆㄤ,1,156.2245,156.9569,2,157.0771,157.7506,3,157.898,158.4671,4,158.6281,159.3401
ㄆㄥ,1,159.5057,160.2834,2,160.4218,161.0952,3,161.2517,161.8639,4,162.0249,162.7551
ㄆㄧ,1,162.9252,163.6893,2,163.805,164.4286,3,164.5442,165.1474,4,165.2812,166.0385
ㄆㄧㄝ,1,166.229,166.9841,2,167.0703,167.7755,3,167.8707,168.3764,4,168.5011,169.2449
ㄆㄧㄠ,1,169.4263,170.2744,2,170.4014,171.102,3,171.2063,171.8345,4,171.9637,172.746
